DEALER_ID|VIN|CARFAX_URL|ICON_URL|IS_ONE_OWNER
AUTO1PR|ML32AUHJ1MH000285|https://www.carfax.com/VehicleHistory/ar20/lZqfsH9T2DDhEdLdLY6KI-8-rBKPL12eUvmN6Hqi_h-b1f2TjVurQaP5ov7djUm3e_tdFLFi6z9T_HL0Rway6cPOMpe0EjFdbOE|https://partnerstatic.carfax.com/img/valuebadge/showme.svg|N
AUTO1PR|NM0LS7E74M1504358|https://www.carfax.com/VehicleHistory/ar20/2Bfzzenri1jFVvxL2gOEswsyP0MuEhgs39E08S9U4FEzJz_Wt7c09uSDJAYDtq3jLFMyhiddGsrfddoPzZ0UjWsrB4-JD_GPl9U|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|5J6RW1H23ML003152|https://www.carfax.com/VehicleHistory/ar20/EW93EcNIXIiRlA2eVSPyohxGBCFTCCHxsBQzmSV3WDeulgAjQratMgHlvPYNpptXdJWkgckj7J-xH1J9rTRfn5hSzhgfa8Kvifo|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|KMHLL4AG2NU312467|https://www.carfax.com/VehicleHistory/ar20/xywLAtFBsk2Z5uN4HbAjmhfhbQplxTJQSHfWDCL_rdmPLbk-BLZXMz1hKx3jw526Fp8SMjjmZsXXxAIhEqQjp6KVuSwK_HBNlS8|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|1C4PJLCB9JD589182|https://www.carfax.com/VehicleHistory/ar20/fPgP_r3eMPDIHhTT2khbc36Z8T2RCCFU-L9icth0hCk_kw37kxNf2hqnzgbMRZVxZpVIk4ciYkQbQIpAhUKeS-0MCaJoZkefrTU|https://partnerstatic.carfax.com/img/valuebadge/showme.svg|N
AUTO1PR|2HGFE2F50NH582745|https://www.carfax.com/VehicleHistory/ar20/_gCf9OQqvd3j24nfYkRz5vZFgV5KlBSnU_JD0ji89xMpIuig9qQ6VLpT7ZTAwIPcX2dlA0y9_MEhOxV2vDVTd_7lLWuFyg9YhZ8|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|JA4J3UA85NZ018644|https://www.carfax.com/VehicleHistory/ar20/1o16N_AYKEbbpxWWAoL9jjxowExjayudRFQYLc2Ar0UjWfJBCi9hji2PftozFEMJBynrTpSrgCtPNwC6MMLT-OOq2k_cX2uAzls|https://partnerstatic.carfax.com/img/valuebadge/showme.svg|N
AUTO1PR|KNDEP2AA6N7318711|https://www.carfax.com/VehicleHistory/ar20/LQ1z47n8wYPNgmXwTADwRB-Vsy73W42Jy_sz4S_QB33wl9bBxoaVM-kqYiYGCwecAeqXBcGdFeNaspV2mU2npRXenBjTVhG5XPE|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|3KPA24AD6ME424674|https://www.carfax.com/VehicleHistory/ar20/isDufpWUN3ynl3T1E6TzRlf-psQMh6R8SeG0M7XaziXGqBxJCkSf60dh6Gc4g8F83jw1qrgv0sgompLlyZ-p__vszPrybC6zpUU|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|1FTMF1CB6MKE29897|https://www.carfax.com/VehicleHistory/ar20/9H4NWidNq99oMvaUKJGUpniClu2JoLu_rMqE4rJKtHtOy-Vfi9bacfxYVjcaNLJ3s50OQEe2Bi6u5HqVc1220gXeSXEDay2S6qk|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|3FTTW8E91NRA46882|https://www.carfax.com/VehicleHistory/ar20/KmIP8ocq2n_LbLSHFOuO52jmHpSKVwah0Ciy5m2zH_QBR4cWjvflVynATsepsDcyEIl1pyQMpU5Mt7qdr_3IJvtNmK2Q-gNRkp8|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|MAJ6S3GL4NC462501|https://www.carfax.com/VehicleHistory/ar20/6ZtitMLgYhxs5o5_RjvoM907ujWeW0nhueqeZ9Pvwyrn5OZYolefZoIRM9eW33cUw1Kus5u1TcyUpAErESH5BqWzxSQHazIwsGY|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|1C6RR7KG1MS578223|https://www.carfax.com/VehicleHistory/ar20/lSaCjolM87s1NS7pUQFkQ5IpxVgIwmEv6uAMpf2J1q7EKm9ABDKzXHPdEporBn438bUQefHKNbHxRIO7iiFvQklIryt6OCsn93A|https://partnerstatic.carfax.com/img/valuebadge/showme.svg|N
AUTO1PR|JTND4RBE7L3079605|https://www.carfax.com/VehicleHistory/ar20/FvjZJtyHXwaPMOSgpyxZN3UiDJ049CpuNTQLXIHIdY6YzLbZNnkDEv-CZKlo0rwPR8Nbms3eFwiU6PohOCylY0uXHWTS0R8RCd4|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|ML32FVFJ8NHF01799|https://www.carfax.com/VehicleHistory/ar20/0CxDh58m7AVw8jkx4Hwp7X4TrwAIjCq3T14ckkV8G0ZpYmTbJCraloGe2FkK4BqH4IVZm5QTtMRGunR8anfuhpxy1nsOUgBADGM|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|ML32FVFJ9NHF03187|https://www.carfax.com/VehicleHistory/ar20/1hqOAmy3W82jGxMV6cQFesa0En8WVtyH_d3eLQS56t42Fy7x6y896I8Qtu10N2tHT9GMKhg0bsy0KrYdx59NRooY0YX6lCOw5d4|https://partnerstatic.carfax.com/img/valuebadge/showme.svg|N
AUTO1PR|1C4PJLLB6MD227475|https://www.carfax.com/VehicleHistory/ar20/lA2PtyLysSrNt35LI_psSSAVbw4aNsddHJywH4Et9UNj2nQnnKtkYSFJM0ZNTOjiaKBZJzS6vqLrUfEjUl3Kjw3tf_y5sm4Tm94|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|JA4APVAU4NU018638|https://www.carfax.com/VehicleHistory/ar20/iI-0NEM6ZjJHjh3AUM8PwZMzjW2csBzpJMavhwUStOLHpLkgoVHbvj9hWnToWUyKWGhx5HXfuHd4OGMNyOI4NR9ud9SFQkCmn3U|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|3C4NJCBBXNT167088|https://www.carfax.com/VehicleHistory/ar20/Eg2HmNx_qFExiZJ1wrv-SWqVthhDAENJR_Ty7gDECRrNJzNnUy0f1URLteHgl9YCxxh0jMud47R9FrJxxJTo8iuPE4tg1s7tzD8|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|3C4NJCBB4NT113110|https://www.carfax.com/VehicleHistory/ar20/gAz5EtAK6XAJB7uQX2yx6U_er15E2pxQ5Fl-0SJlchiklKTLw0WeW8hn4s6nwf0M2aXIgjH3G0KXlD1O4PODflBoe320yAPlNoo|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|JTDDPMAE5NJ215048|https://www.carfax.com/VehicleHistory/ar20/2yzmqvHgxzIS6QkfpH7DAWKcXmFhYqW3fPD-aDXPu_p1c5wO4rSfOGs9ZE0TGeq1ge9ejkpjUpcLPTnFNWSdVUEcCEI8Z0NawDE|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|3HGGK5H42LM702840|https://www.carfax.com/VehicleHistory/ar20/DfBpsnzNezes19L5BqXabSXHSVnmIFIudmO3rfdjo9Orbxrj8Ug-PMiaB3QJA63z2-S5fdqm1MwTHB9KInbwayQD22IIfgyGqXg|https://partnerstatic.carfax.com/img/valuebadge/showme.svg|N
AUTO1PR|1FMEE5DP7NLB00903|https://www.carfax.com/VehicleHistory/ar20/8Lk9Hk-s9z1oXa9BomVZtsO4YuMCfSvaKrfaNAf4J7Bo_sKZ_pAHV6ziSezap2HtWN-ue3e6R0KTnFU7u2Zk4U1vhoO1pb4BY48|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|3KPF24AD5NE444955|https://www.carfax.com/VehicleHistory/ar20/6PCRkcB1uuk9G7EdHuU-UaZL3U5O4e6QiTxBy0REB23FBsx_Z8UZa8VlDheCT3SApP12ZyhKe72rXfS4h5vqqTzgPHXMB9OaZd4|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|3N6CM0KN0MK703166|https://www.carfax.com/VehicleHistory/ar20/M0MENJJxodLqU-uE-U9s8u0ljN7orcIBZ9efm3E93xVqXvW7NfiIpquV7XNWOhwbQ_coxX6vIT9KqH3PGqUdWDutZ0e7NoMWBYs|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|KMHD84LF3LU055665|https://www.carfax.com/VehicleHistory/ar20/5mclCISWkPcGFgorvBU7Z-JcToKKqxjjMuSUH0y1GzEE4wndg8Tw9T9XvQWke2x8Pp5EvkMREEmVAsEeZWurbbjVri1YGyICIqU|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|ML32FVFJ8NHF01351|https://www.carfax.com/VehicleHistory/ar20/ZnK1h09yOgMjCYXU4e970BJ6k4OjWeABeZ9tLSSzkT7o6vpDizupdcLoxd2rEYAXIUfcYq2OC0pwXFmsC6R7hM2Syz7ZzxhPmSo|https://partnerstatic.carfax.com/img/valuebadge/showme.svg|N
AUTO1PR|1FTEW1EP0JKC89970|https://www.carfax.com/VehicleHistory/ar20/ymSlS6Ym21Oko_Wod8vQ3Inw1tgi1gjvkU14jpBZVMVDOZm9D49_-FgAUuKJdJrM6NXnsAxhjEBOC_24iDuOc4-beifFpkSFhGU|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|JA4J3UA85NZ026548|https://www.carfax.com/VehicleHistory/ar20/d8IzF2sM3wsyalbfDIRadkxRfXxXXa9PyZINuI9FprUxdjHmX7I6QbdyEufbaHeAL5MLbcSXFtZZBRHRWS9lbO5CyHxMbA0_6o0|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|JN1BJ1BV6MW316156|https://www.carfax.com/VehicleHistory/ar20/AHgmF8DAjePSIMuVrIxXjhbC0KtqE8Si813Ila8s92gPYF3993udAxR-VjqwpNfgMiRbPxnM_iFl_WN7IimNIP4fFcfojjLFEpU|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|3KPC24A65NE158642|https://www.carfax.com/VehicleHistory/ar20/U1EbN4PgpEx27qEP56uLkDORmmhTH88EZQTL_zPlpd5obPSSUhpa8ETIJkamp5VnGkCDKOu9GN9b7RXk33QShaEhBoHkAg2VZ6Q|https://partnerstatic.carfax.com/img/valuebadge/1own.svg|Y
AUTO1PR|3MDDJBBV0KM313409|https://www.carfax.com/VehicleHistory/ar20/Xfzkxj5ILXIyvq81h6USwbdcEM32DAA7XGATxpWINvQAcLDPcGz51XF3oE8lsudjdB0ymI1yAQ7dYrgvWL6o0Xl56urnx_QNZF8|https://partnerstatic.carfax.com/img/valuebadge/showme.svg|N
